"pitch","yaw","f"
"-22","-24.443954780416536","1.0"
"-60","114.44395478041653","0.5000000000000001"
"-67","66.03751102542182","0.5000000000000001"
"-52","-75.96375653207353","0.30000000000000016"
"-77","-135.0","0.9"
"-19","-53.13010235415598","0.6000000000000001"
"2","43.36342295838329","0.8"
"0","0","0"
"-6","-142.30575953331083","1.0"
"-32","-171.2538377374448","0.6000000000000001"
"0","0","0"
"10","-135.0","1.0"
"-15","102.80426606528675","1.0"
"0","45.0","0.7000000000000001"
"7","-31.328692867804172","1.0"
"6","135.0","1.0"
"-4","-138.36646066342982","0.30000000000000016"
"-5","-56.309932474020215","0.7000000000000001"
"-64","-129.28940686250039","0.40000000000000013"
"19","15.642246457208728","1.0"
"-22","-38.65980825409009","1.0"
"10","-126.86989764584402","1.0"
"-17","96.3401917459099","1.0"
"-71","-82.23483398157467","0.6000000000000001"
"-24","-57.094757077012105","1.0"
"0","0","0"
"21","18.43494882292201","1.0"
"0","0","0"
"-30","8.74616226255521","0.5000000000000001"
"2","-120.96375653207352","0.40000000000000013"
"-3","57.38075692880717","1.0"
"-3","146.30993247402023","1.0"
"-66","-69.77514056883192","0.5000000000000001"
"-17","71.56505117707799","1.0"
